iter	Passed	Remaining
0	1	123
1	2	115
2	3	109
3	4	103
4	5	103
5	6	103
6	7	102
7	8	102
8	10	102
9	11	101
10	12	101
11	13	102
12	15	100
13	16	98
14	17	97
15	18	96
16	19	94
17	20	93
18	22	94
19	24	96
20	25	96
21	27	98
22	29	97
23	30	97
24	31	95
25	32	93
26	33	91
27	34	89
28	35	88
29	36	86
30	38	85
31	39	84
32	40	82
33	41	80
34	42	79
35	43	77
36	44	76
37	45	74
38	46	73
39	47	71
40	49	70
41	49	68
42	50	67
43	51	66
44	53	65
45	54	64
46	56	63
47	58	63
48	59	62
49	61	61
50	62	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	73	47
61	74	45
62	76	44
63	77	43
64	78	42
65	79	40
66	80	39
67	81	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	19
84	100	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	111	7
94	112	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
