iter	Passed	Remaining
0	205	205245
1	206	103220
2	209	69675
3	210	52522
4	212	42210
5	213	35335
6	214	30426
7	215	26739
8	216	23892
9	218	21629
10	219	19778
11	222	18334
12	225	17132
13	226	15984
14	229	15089
15	231	14267
16	233	13504
17	237	12965
18	239	12357
19	241	11810
20	242	11301
21	243	10836
22	245	10411
23	246	10022
24	247	9657
25	248	9319
26	249	9005
27	252	8759
28	253	8486
29	254	8230
30	257	8042
31	258	7815
32	259	7601
33	260	7399
34	261	7209
35	262	7029
36	263	6858
37	264	6699
38	266	6554
39	267	6409
40	268	6276
41	269	6144
42	270	6019
43	271	5898
44	272	5784
45	273	5672
46	274	5565
47	275	5465
48	276	5367
49	278	5290
50	280	5210
51	281	5123
52	282	5044
53	284	4984
54	285	4909
55	286	4837
56	288	4765
57	289	4696
58	290	4627
59	291	4563
60	293	4518
61	295	4469
62	296	4412
63	298	4358
64	299	4303
65	300	4257
66	301	4204
67	303	4153
68	304	4104
69	305	4061
70	306	4012
71	310	3999
72	311	3952
73	312	3906
74	313	3862
75	314	3818
76	314	3774
77	315	3732
78	316	3691
79	317	3651
80	318	3614
81	319	3576
82	319	3535
83	320	3498
84	321	3463
85	323	3439
86	324	3406
87	325	3372
88	326	3340
89	327	3308
90	328	3276
91	328	3246
92	329	3216
93	330	3187
94	331	3159
95	332	3132
96	333	3104
97	334	3077
98	335	3050
99	337	3037
100	338	3013
101	339	2988
102	340	2963
103	341	2939
104	342	2916
105	342	2892
106	343	2869
107	344	2849
108	346	2833
109	347	2813
110	348	2793
111	349	2773
112	351	2761
113	353	2749
114	354	2729
115	355	2710
116	356	2692
117	357	2673
118	358	2655
119	359	2636
120	360	2617
121	361	2598
122	361	2580
123	362	2562
124	363	2545
125	364	2528
126	365	2510
127	367	2503
128	368	2488
129	369	2472
130	370	2460
131	371	2445
132	372	2429
133	373	2414
134	374	2399
135	375	2385
136	376	2371
137	377	2356
138	378	2342
139	379	2328
140	379	2314
141	381	2307
142	383	2295
143	384	2283
144	385	2271
145	386	2258
146	387	2246
147	388	2235
148	389	2225
149	390	2213
150	391	2202
151	392	2190
152	393	2177
153	394	2167
154	396	2162
155	397	2152
156	398	2141
157	399	2131
158	400	2120
159	401	2109
160	402	2096
161	403	2085
162	404	2075
163	404	2064
164	405	2053
165	406	2043
166	407	2033
167	408	2023
168	409	2013
169	410	2006
170	411	1997
171	412	1987
172	413	1977
173	414	1968
174	415	1958
175	416	1949
176	417	1940
177	418	1930
178	419	1923
179	420	1916
180	421	1908
181	422	1899
182	423	1890
183	424	1884
184	425	1875
185	426	1866
186	427	1858
187	428	1850
188	429	1842
189	430	1834
190	431	1826
191	432	1818
192	433	1810
193	433	1802
194	434	1794
195	435	1786
196	436	1779
197	437	1771
198	439	1769
199	440	1763
200	441	1756
201	442	1749
202	443	1741
203	444	1734
204	445	1727
205	446	1720
206	447	1712
207	447	1705
208	448	1698
209	449	1691
210	450	1684
211	451	1677
212	452	1671
213	453	1666
214	454	1659
215	455	1653
216	456	1646
217	457	1640
218	458	1633
219	458	1627
220	459	1621
221	460	1614
222	461	1608
223	462	1602
224	463	1596
225	464	1590
226	465	1584
227	467	1582
228	468	1577
229	469	1572
230	470	1566
231	471	1560
232	472	1555
233	473	1549
234	474	1544
235	475	1538
236	476	1532
237	476	1526
238	477	1520
239	478	1516
240	479	1510
241	480	1505
242	482	1503
243	483	1498
244	484	1493
245	485	1488
246	486	1482
247	487	1477
248	488	1471
249	488	1466
250	489	1461
251	490	1456
252	491	1451
253	493	1449
254	494	1445
255	497	1445
256	498	1441
257	500	1439
258	502	1437
259	503	1433
260	505	1431
261	507	1429
262	509	1426
263	513	1431
264	515	1429
265	517	1427
266	518	1424
267	520	1422
268	522	1419
269	524	1417
270	525	1414
271	528	1414
272	529	1410
273	530	1406
274	531	1401
275	533	1398
276	534	1394
277	535	1390
278	537	1390
279	540	1388
280	543	1391
281	545	1388
282	546	1385
283	549	1384
284	551	1382
285	552	1379
286	554	1376
287	555	1373
288	559	1377
289	561	1374
290	564	1374
291	565	1372
292	567	1369
293	569	1367
294	571	1365
295	576	1371
296	579	1371
297	582	1372
298	584	1371
299	586	1368
300	590	1370
301	592	1368
302	593	1366
303	595	1362
304	596	1359
305	598	1356
306	600	1355
307	601	1352
308	607	1357
309	609	1356
310	611	1354
311	612	1350
312	614	1347
313	615	1345
314	622	1354
315	625	1353
316	627	1353
317	630	1351
318	632	1351
319	636	1351
320	637	1348
321	638	1345
322	640	1341
323	641	1338
324	642	1335
325	643	1331
326	645	1328
327	648	1328
328	652	1329
329	654	1328
330	662	1338
331	664	1337
332	668	1339
333	670	1337
334	672	1335
335	673	1331
336	675	1328
337	677	1326
338	678	1323
339	681	1323
340	683	1320
341	684	1317
342	686	1315
343	688	1312
344	690	1310
345	692	1308
346	693	1305
347	698	1307
348	700	1306
349	701	1302
350	702	1299
351	706	1299
352	708	1298
353	710	1296
354	715	1299
355	720	1304
356	722	1301
357	725	1300
358	730	1304
359	735	1307
360	736	1304
361	737	1300
362	738	1296
363	739	1292
364	740	1288
365	741	1284
366	744	1283
367	745	1280
368	746	1277
369	748	1274
370	751	1273
371	752	1270
372	754	1267
373	755	1264
374	759	1265
375	761	1264
376	763	1261
377	765	1259
378	766	1256
379	774	1263
380	776	1261
381	778	1258
382	779	1256
383	781	1254
384	783	1251
385	784	1247
386	785	1244
387	786	1240
388	787	1237
389	789	1234
390	791	1232
391	792	1229
392	793	1226
